lat,lon,year,month,sst,mld,scew,scns,sal,chlor,pred
42.02,-70.3,2013.0,4.0,15.155,44.587,0.023,0.011,35.257,1.059,0.7511666666666669
41.87,-70.53,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.4014999999999999
44.62,-66.43,2011.0,8.0,23.743,13.88,0.038,0.009,34.78,0.864,0.5397857142857143
48.26,-63.66,2016.0,9.0,23.714,20.785,0.033,0.007,35.088,1.115,0.7300238095238094
47.92,-64.02,2017.0,8.0,24.224,14.249,0.036,0.007,34.999,1.04,0.7721666666666667
42.13,-69.76,2010.0,4.0,14.94,30.324,0.034,-0.007,35.276,1.286,0.18704761904761905
41.68,-69.72,2007.0,2.0,14.542,87.923,0.039,-0.017,35.292,0.499,0.6416547619047619
41.77,-70.41,2017.0,3.0,14.791,83.635,0.027,0.001,35.424,0.556,0.49962769256886913
42.08,-68.75,2003.0,6.0,19.41,13.452,0.038,0.006,35.29,1.037,0.9096666666666667
41.94,-70.24,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.19066666666666665
41.94,-70.35,2014.0,1.0,15.705,68.326,0.044,-0.003,35.201,0.543,0.5725
42.0,-70.2,2015.0,5.0,17.151,20.622,0.04,0.016,35.205,1.104,0.7558333333333332
43.41,-68.29,2011.0,1.0,15.106,79.538,0.034,0.0,35.138,0.661,0.494
41.84,-70.21,2017.0,2.0,15.196,79.868,0.035,0.005,35.411,0.543,0.4431666666666667
42.94,-65.11,2009.0,8.0,24.3,13.698,0.034,0.009,34.872,0.959,0.3832380952380953
30.74,-81.32,2016.0,2.0,15.263,69.409,0.039,0.005,35.32,0.698,0.8051450216450217
43.01,-70.08,2007.0,1.0,15.679,77.408,0.04,-0.023,35.122,0.694,0.7389999999999999
41.78,-70.27,2009.0,3.0,14.44,71.726,0.024,0.0,35.193,0.735,0.3832619047619048
41.49,-68.99,2005.0,5.0,16.51,19.796,0.032,0.004,35.157,0.954,0.5051666666666667
42.02,-70.52,2012.0,2.0,15.085,67.98,0.034,-0.007,35.184,0.588,0.27575000000000005
42.63,-70.32,2011.0,9.0,23.337,18.85,0.031,0.005,34.781,1.016,0.3416311743811742
31.57,-81.0,2014.0,12.0,17.791,59.607,0.026,0.001,35.153,0.636,0.6193809523809524
41.78,-70.49,2015.0,5.0,17.151,20.622,0.04,0.016,35.205,1.104,0.07500000000000001
42.16,-67.64,2004.0,6.0,19.152,13.58,0.037,0.008,35.088,0.846,0.537
42.82,-65.58,2002.0,9.0,23.026,20.469,0.029,0.007,35.124,0.967,0.8056666666666665
42.22,-66.37,2012.0,5.0,17.496,17.414,0.029,-0.003,35.151,0.96,0.474452380952381
42.09,-70.19,2013.0,5.0,16.985,19.013,0.034,0.008,35.194,0.942,0.4930476190476191
42.1,-69.68,2005.0,3.0,14.415,94.265,0.024,-0.002,35.237,0.557,0.22124999999999997
30.25,-81.13,2003.0,1.0,15.189,79.976,0.04,-0.012,35.348,0.519,0.8213333333333332
42.88,-66.13,2004.0,8.0,23.822,13.909,0.032,0.011,34.938,0.817,0.17707142857142855
